"Timestamp","Ikä?","Sarja johon kirjaudun","Olen juossut viimeisen vuoden aikana","Viimeisen vuoden aikana teen vähintään puolituntia kestävää liikuntaa","Viimeisin Cooper-tulokseni (valitse lähin)","Olen treenannut","Useimmiten treenaan","Kovan treenin ohessa","Tavoitteenani on","Haaveissani olisi","Isoimmat esteet haaveilleni ovat kaiketi","Uusilla reiteillä seuraan","Olen käynyt yhteislenkillä","Yhteislenkki oli (jos osallistuit)","Minulle käteviä treenipaikkoja olisivat","Käyn treeneissä yleensä","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Maanantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Tiistai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Keskiviikko]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Torstai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Perjantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Lauantai]","Paras ajoitus olisi (kellonaika) - [puhelin vaakatasoon] [Sunnuntai]","Treenimääränä minusta olisi optimaalinen","Treenin tehokkuus tulisi olla mielestäni","Treenimaaston tulisi sisältää","Treeneistä tulisi ilmoittaa","Korona on vaikuttanut","Parasta yhteistoimintaa on ollut","Lisäksi haluaisin","Harrastan myös"
"2023/12/28 7:46:19 PM GMT+2","20-30","naiset","puolimaratonin","kolmesti viikossa","2300m","Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Tankkaan energiaa","kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa","En uskalla kulkea uusilla reiteillä yksin;Ajanpuute;Laiskuus","merkattuja reittejä","En","","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keskusta;Keljonkangas;Kuokkala;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Muurame;Sippulanniemi;Touruvuori;Vaajakoski;Vesanka, Ruoke","juoksen alkulämpät;pyörällä;linkillä;omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10;10-12;12-15;15-17;17-19","7-10;10-12;12-15;15-17;17-19","30 min;45 min;1 h;1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","","","Hiihto;Jumppa;Laskettelu;Retkeily;Tanssi"
"2023/12/28 7:49:48 PM GMT+2","40-50","miehet","puolimaratonin","yleensä kahdesti viikossa","2900m","Mäkeä (kävellen/sauvoilla);Nopeaa kävelyä (speed hike);Monipuolisesti eri lajeja","Yksin","Muistan juoda;Tankkaan energiaa","","polkujuoksu pohjoisessa suomessa","Laiskuus","gps-reittiä","Joo","ihan sopiva kaikin puolin ja mukava","Kuolemankuopat;Touruvuori","omalla autolla","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","1 h 30 min","maltillinen hölkkä hitaimman mukaan","helppoa neulaspolkua","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Enemmän yhteislenkkejä","Gravel-pyöräily;Salibändy"
"2023/12/28 7:50:40 PM GMT+2","40-50","naiset","puolimaratonin","8 kertaa viikossa","2600m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin","pidempi yhtenäinen juoksuvaellus","En uskalla kulkea uusilla reiteillä yksin;Kaverin puute;Kulkuyhteydet","järjestäjän merkkejä;merkattuja reittejä;paperikarttaa ja kompassia","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Keskusta;Laajis","juoksen alkulämpät;pyörällä","17-19","","17-19","17-19","","","","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;paljon verttimetrejä","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteisiä pitkiksiä","Hiihto;Maastopyöräily;Maantiepyöräily"
"2023/12/28 8:03:28 PM GMT+2","30-40","naiset","ultran","kolmesti viikossa","Ei tulosta","Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda","nauttia luonnosta;kehittää nopeuttani juoksijana;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kaverin puute","mobiilikarttaa;olen oman tieni kulkija","Joo","ihan sopiva kaikin puolin ja mukava","Ensi vuonna Jyväskylä ei toimi","pyörällä;omalla autolla","","","","","","","","1 h 30 min;2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä","paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;suota","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit","Enemmän yhteisiä saunailtoja","Hiihto;Kiipeily tai boulderointi;Maantiepyöräily;Retkiluistelu;Retkeily;Suppailu;Suunnistus;Uinti;Vetokoiraurheilu"
"2023/12/28 8:03:36 PM GMT+2","50-60","naiset","10km lenkin","kolmesti viikossa","Ei tulosta","Peruskestävyyttä","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä;löytää polulta elämäni rakkaus","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Ajanpuute;Kaverin puute;Laiskuus;Ikä;Fyysiset rajoitteet","merkattuja reittejä;olen oman tieni kulkija","En","","Köhniö;Laajis;Ladun maja;Myllyjärvi;Mäyrämäki","omalla autolla","","","","","","","","30 min;45 min","reipas kävely tällä kunnolla saa jo huohottamaan;maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse","helppoa neulaspolkua;vain pieniä mäkiä","muutama päivä aiemmin riittää;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","","","Hiihto;Jumppa;Retkeily;Uinti;Sauvakävely"
"2023/12/28 8:06:49 PM GMT+2","40-50","naiset","puolimaratonin","seitsemästi viikossa","2800m","Mäkeä (kävellen/sauvoilla);Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Ryhmässä","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;paperikarttaa ja kompassia","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Myllyjärvi;Mäyrämäki;Muurame;Nuutti;Sarvenperä;Sippulanniemi;Touruvuori;Vaajakoski;Vesanka, Ruoke","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","1 h 30 min;2 h;2 h 30 min;yli 3 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä;pitkää raastoa","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut;Facebook-läppä","Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä tunkkausmättöjä","Gravel-pyöräily;Hiihto;Jumppa;Laskettelu;Lumikenkäily;Maastopyöräily;Maantiepyöräily;Melonta;Retkiluistelu;Retkeily;Seikkailu-urheilu;Suppailu;Suunnistus;Uinti"
"2023/12/28 8:20:42 PM GMT+2","40-50","naiset","maratonin","viidesti viikossa","2600m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin","polku- tai vuorijuoksu ulkomailla","Kaverin puute","järjestäjän merkkejä;merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Touruvuori","juoksen alkulämpät;omalla autolla","17-19","17-19","17-19","17-19","17-19","15-17","10-12","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;paljon verttimetrejä;nelivetopaikkoja;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit;Juoksukaverit","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä","Hiihto;Laskettelu;Lumikenkäily;Retkiluistelu;Suppailu;Uinti;Ringette, padel"
"2023/12/28 8:35:11 PM GMT+2","40-50","naiset","1km lenkin;5km lenkin;10km lenkin;maratonin;ultran","kolmesti viikossa","","Monipuolisesti eri lajeja","Yksin","Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","pidempi yhtenäinen juoksuvaellus;polku- tai vuorijuoksu ulkomailla","Ajanpuute","järjestäjän merkkejä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keskusta;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Leppävesi;Muurame;Sippulanniemi;Touruvuori;Vaajakoski","pyörällä;toisen kyydillä;omalla autolla","","17-19","","17-19","17-19","10-12","10-12","1 h 30 min","","","muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Yhteislenkit;Juoksukaverit;Pikkujoulut","Enemmän yhteislenkkejä;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä voimatreenejä;Enemmän yhteisiä juoksuvaelluksia","Hiihto;Laskettelu;Maastopyöräily;Retkiluistelu;Rogain;Suunnistus;Tanssi;Kuntosali"
"2023/12/28 8:36:59 PM GMT+2","30-40","miehet","ultran","12 kertaa viikossa","3300m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","polku- tai vuorijuoksu ulkomailla;UTMB kisa","Määrärahojen puute;Ajanpuute","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa;paperikarttaa ja kompassia;suuntaa auringosta","Joo","liian hidas","Keljonkangas;Keljo (Lähtö PV:n luolalta)","omalla autolla;Omasta pihasta","10-12","10-12","10-12","10-12","10-12","10-12","10-12","1 h 30 min;2 h;2 h 30 min;yli 3 h","vetotreenejä;pitkää raastoa","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa;juurakkoa","kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa;kuukausi etukäteen","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Facebook-läppä","Enemmän yhteisiä pitkiksiä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä tunkkausmättöjä","Hiihto;Melonta;Retkeily;Maantiepyöräily"
"2023/12/28 8:37:09 PM GMT+2","30-40","naiset","10km lenkin","kolmesti viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Voimaa;Peruskestävyyttä","Kaksin","Lämmittelen lihakset;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Kulkuyhteydet;Ei ole autoa käytössä","merkattuja reittejä","En","","Paloheinä, Malminkartanon huippu","linkillä;toisen kyydillä","","7-10","","","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","45 min;1 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;paljon verttimetrejä;kivikkoa;juurakkoa;suota","viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit;Facebook-läppä;Juoksublogit tai tarinat","Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä saunailtoja;Enemmän yhteisiä tunkkausmättöjä;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Gravel-pyöräily;Kuntosali "
"2023/12/28 8:39:52 PM GMT+2","40-50","naiset","maratonin","kuudesti viikossa","3200m","Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet;päästä podiumille","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;kisaaminen;polku- tai vuorijuoksu ulkomailla","Määrärahojen puute;Pääfocus eri lajissa ja siihen menee koko budjetti","järjestäjän merkkejä;merkattuja reittejä","En","","Laajis;..mutta kiva olisi tutustua muuhunkin ympäristöön jos yhdysreitti ja näitä en tunne lainkaan..","pyörällä","","","","","","","10-12","2 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua","kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","","Yhteinen kisamatka ulkomaille (sitten kun on taas opiskelujen jälkeen määrärahoja)","Hiihto;Jumppa;Maantiepyöräily;Triathlon;Uinti"
"2023/12/28 8:43:49 PM GMT+2","40-50","naiset","1km lenkin;5km lenkin;10km lenkin;puolimaratonin","seitsemästi viikossa","Ei tulosta","Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","En uskalla kulkea uusilla reiteillä yksin","merkattuja reittejä","Joo","ihan sopiva kaikin puolin ja mukava","Halssila;Kanavuori;Kangaslampi;Kuokkala;Laajis;Ladun maja;Leppävesi;Sippulanniemi;Vaajakoski","omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12;12-15;15-17;17-19","10-12;12-15;15-17;17-19","1 h 30 min","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä;paljon verttimetrejä;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa","viikkoa aiemmin","Ei ole vaikuttanut","","Enemmän yhteislenkkejä","Lumilautailu ja golf "
"2023/12/28 8:44:26 PM GMT+2","40-50","naiset","5km lenkin","kolmesti viikossa","Ei tulosta","Nopeaa kävelyä (speed hike);Voimaa;Peruskestävyyttä","Yksin","Muistan juoda","nauttia luonnosta;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute","merkattuja reittejä","En","","Halssila;Kanavuori;Kangaslampi;Kauramäki;Keskusta;Keljonkangas;Kuokkala;Kuolemankuopat;Köhniö;Laajis;Ladun maja;Muurame;Sippulanniemi;Touruvuori","omalla autolla","17-19","17-19","17-19","17-19","17-19","17-19","17-19","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","helppoa neulaspolkua;vain pieniä mäkiä","viikkoa aiemmin","Ei ole vaikuttanut","Facebook-läppä","Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Laskettelu;Suppailu;Jooga"
"2023/12/28 8:53:31 PM GMT+2","50-60","naiset","ultran","12 kertaa viikossa","Ei tulosta","Pitkiksiä;Voimaa;Monipuolisesti eri lajeja","Kaksin","Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;pidempi yhtenäinen juoksuvaellus;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Työ","merkattuja reittejä;gps-reittiä","Joo","ihan sopiva kaikin puolin ja mukava","Kuokkala;Köhniö;Myllyjärvi;Mäyrämäki;Sippulanniemi","pyörällä;omalla autolla","17-19","17-19","17-19","17-19","17-19","10-12","10-12","1 h;1 h 30 min","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä","helppoa neulaspolkua;nelivetopaikkoja;rymypätkiä;kivikkoa;juurakkoa;suota","edellisenä päivänä;muutama päivä aiemmin riittää","Ei ole vaikuttanut","Kisamatkat ja yhteismajoitukset;Juoksukaverit;Pikkujoulut","Enemmän yhteislenkkejä;Enemmän yhteisiä reissuja lähikuntiin;Enemmän yhteisiä pitkiksiä;Enemmän yhteisiä juoksuvaelluksia;Enemmän yhteisiä juoksuleirejä (esim. vuokratupa)","Hiihto;Maastopyöräily;Melonta;Retkiluistelu;Retkeily;Crossfit"
"2023/12/28 8:56:22 PM GMT+2","20-30","naiset","puolimaratonin","neljästi viikossa","2500m","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Muistan juoda;Tankkaan energiaa","nauttia luonnosta;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","","Ajanpuute","mobiilikarttaa;olen oman tieni kulkija","En","","","pyörällä;omalla autolla","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","10-12;12-15","1 h 30 min;2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;mäkitreeniä;intervalleja","helppoa neulaspolkua;rymypätkiä;kivikkoa;juurakkoa;suota","muutama päivä aiemmin riittää;kuukausi etukäteen","Ei ole vaikuttanut","","Enemmän yhteislenkkejä;Enemmän tasolenkkejä (eri vauhtiryhmät)","Gravel-pyöräily;Hiihto;Laskettelu;Lumikenkäily;Maantiepyöräily;Melonta;Potkukelkkailu;Retkiluistelu;Retkeily;Suunnistus"
"2023/12/28 9:07:45 PM GMT+2","20-30","naiset","puolimaratonin","seitsemästi viikossa","Ei tulosta","Mäkeä (kävellen/sauvoilla);Mäkeä juosten ylös;Alamäkijuoksu;Nopeaa kävelyä (speed hike);Vetoja;Pitkiksiä;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Muistan juoda;Tankkaan energiaa;Olen hankkinut ohjausta (valmennus)","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja","läheiset kansallispuistot;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla","Ajanpuute;Ruuhkavuodet","merkattuja reittejä;mobiilikarttaa","En","","Kauramäki;Keljonkangas;Ladun maja;Muurame;Missä muuratsalo?","","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","17-19;19-21","7-10","7-10","2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","paljon verttimetrejä","viikkoa aiemmin;kaksi viikkoa aiemmin jotta kerkeää järjestellä aikaa","Ei ole vaikuttanut","Facebook-läppä","Enemmän yhteislenkkejä;Enemmän tasolenkkejä (eri vauhtiryhmät);Enemmän yhteisiä voimatreenejä","Hiihto;Maantiepyöräily"
"2023/12/28 9:08:20 PM GMT+2","40-50","miehet","5km lenkin","kolmesti viikossa","3000m","Vetoja;Voimaa;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu)","nauttia luonnosta;lisätä juoksumatkaa;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin","pidempi yhtenäinen juoksuvaellus;kisaaminen","Kaverin puute;Laiskuus;Fyysiset rajoitteet","gps-reittiä;paperikarttaa ja kompassia","Joo","ihan sopiva kaikin puolin ja mukava;liian pitkä","Halssila;Keljonkangas;Kuokkala;Laajis;Ladun maja;Sippulanniemi","pyörällä;omalla autolla","15-17;17-19","15-17;17-19","","15-17;17-19","","","","1 h","maltillinen hölkkä hitaimman mukaan;peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);mäkitreeniä","helppoa neulaspolkua;vain pieniä mäkiä","viikkoa aiemmin","Ei ole vaikuttanut","Yhteislenkit","Enemmän yhteislenkkejä","Hiihto;Maastopyöräily;Retkeily;Suunnistus"
"2023/12/28 9:08:59 PM GMT+2","30-40","naiset","ultran","kuudesti viikossa","3000m","Mäkeä (kävellen/sauvoilla);Alamäkijuoksu;Vetoja;Pitkiksiä;Peruskestävyyttä;Monipuolisesti eri lajeja","Yksin","Lämmittelen lihakset","kehittää nopeuttani juoksijana;voittaa itselleni asettamat haasteet","pidempi yhtenäinen juoksuvaellus;kisaaminen;polkujuoksu pohjoisessa suomessa;polku- tai vuorijuoksu ulkomailla;UTMB kisa","Ajanpuute;Ruuhkavuodet","olen oman tieni kulkija","En","","Keskusta;Keljonkangas;Kuokkala;Sippulanniemi","","5-7;17-19","","","","5-7","10-12","10-12","2 h","sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);vetotreenejä;mäkitreeniä;intervalleja","helppoa neulaspolkua;vain pieniä mäkiä","viikkoa aiemmin","Ei ole vaikuttanut","","","Hiihto;Maantiepyöräily;Triathlon;Uinti"
"2023/12/28 9:11:49 PM GMT+2","30-40","naiset","10km lenkin","kolmesti viikossa","Ei tulosta","Mäkeä juosten ylös;Alamäkijuoksu;Pitkiksiä;Peruskestävyyttä","Yksin","Lämmittelen lihakset;Suorituksen jälkeinen lihashuolto (venyttely/rullailu);Jäähdyttely (hölkkä);Käytän hierontapalveluita;Muistan juoda;Tankkaan energiaa","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","läheiset kansallispuistot;polkujuoksu pohjoisessa suomessa","Ajanpuute;Ruuhkavuodet","järjestäjän merkkejä;merkattuja reittejä;gps-reittiä;mobiilikarttaa","En","","Halssila;Kanavuori;Vaajakoski","juoksen alkulämpät;toisen kyydillä;omalla autolla","","","","","","","","2 h","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä);intervalleja","helppoa neulaspolkua;kivikkoa;juurakkoa","muutama päivä aiemmin riittää;viikkoa aiemmin","Ei ole vaikuttanut","Juoksukaverit","","Hiihto;Jumppa;Maastopyöräily"
"2023/12/28 9:26:24 PM GMT+2","40-50","naiset","ultran","neljästi viikossa","2300m","Mäkeä (kävellen/sauvoilla);Vetoja;Peruskestävyyttä","Yksin","","nauttia luonnosta;kehittää nopeuttani juoksijana;lisätä juoksumatkaa;tutustua uusiin paikkoihin liikunnan keinoin;voittaa itselleni asettamat haasteet;tutustua uusiin ihmisiin ja treenikavereihin;löytää mahdollisimman paljon polkuja;käydä läpi useita luonnon tarjoamia nähtävyyksiä","uskaltaa juosta lähimetsän ulkopuolella ilman kaveria;pidempi yhtenäinen juoksuvaellus","En uskalla kulkea uusilla reiteillä yksin","järjestäjän merkkejä;merkattuja reittejä","En","","Köhniö;Laajis;Ladun maja","","19-21","19-21","19-21","19-21","","","","1 h 30 min","peruskestävyys hölkkää niin ettei sykkeet nouse;sellaista rallattelua ja välillä pieniä iloitteluja (höyryjen päästämistä)","","muutama päivä aiemmin riittää;viikkoa aiemmin","","","",""
